source,id,confidence,n_load_bearing_walls,n_annotated_columns,n_derived_columns,n_columns,n_lines_x,n_lines_y,footprint_x,footprint_y,area,span_x_mean,span_x_min,span_x_max,span_x_std,span_y_mean,span_y_min,span_y_max,span_y_std,cols_per_karea,aspect_ratio,cov_x,cov_y,regularity,perimeter_cols,interior_cols,interior_ratio,span_ratio_xy
Swiss,5756,verified,112,16,60,60,5,22,14.22,64.73,920.461,3.555,3.51,3.62,0.044,3.082,1.53,6.59,1.545,65.185,0.22,0.012,0.501,0.661,17,43,0.717,1.153
Swiss,5755,verified,184,32,73,80,13,28,24.66,66.05,1628.793,2.055,0.02,4.02,1.562,2.446,0.5,7.02,1.609,49.116,0.373,0.76,0.658,0.414,10,70,0.875,0.84
Swiss,563,verified,172,0,41,41,12,5,20.76,13.25,275.07,1.887,0.45,4.3,1.24,3.312,1.51,5.56,1.813,149.053,1.567,0.657,0.547,0.454,22,19,0.463,0.57
Swiss,2663,verified,168,0,39,39,12,5,20.56,13.29,273.242,1.869,0.45,4.02,1.188,3.323,1.51,5.54,1.813,142.73,1.547,0.636,0.546,0.458,21,18,0.462,0.563
Swiss,2664,verified,46,0,75,75,13,8,20.68,11.99,247.953,1.723,0.37,4.28,1.158,1.713,0.5,4.1,1.135,302.476,1.725,0.672,0.663,0.428,26,49,0.653,1.006
Swiss,562,verified,25,0,26,26,10,3,16.35,11.55,188.843,1.817,0.43,3.99,1.101,5.775,1.49,10.06,4.285,137.681,1.416,0.606,0.742,0.426,21,5,0.192,0.315
Swiss,2662,verified,69,0,65,65,11,8,20.34,11.75,238.995,2.034,0.68,4.05,1.028,1.679,0.31,3.21,0.966,271.972,1.731,0.505,0.576,0.481,30,35,0.538,1.212
Swiss,564,verified,41,0,62,62,13,7,20.75,11.8,244.85,1.729,0.38,4.25,1.195,1.967,0.89,4.05,1.02,253.216,1.758,0.691,0.519,0.453,23,39,0.629,0.879
Swiss,1277,verified,84,12,22,24,6,8,11.21,22.06,247.293,2.242,0.04,8.78,3.295,3.151,0.88,4.44,1.17,97.051,0.508,1.47,0.371,0.352,13,11,0.458,0.711
Swiss,1276,verified,90,12,22,24,6,8,11.37,22.21,252.528,2.274,0.01,8.91,3.345,3.173,0.9,4.44,1.161,95.039,0.512,1.471,0.366,0.352,13,11,0.458,0.717
Swiss,1212,verified,195,24,37,45,14,15,12.34,44.53,549.5,0.949,0.01,4.47,1.177,3.181,0.83,4.42,1.149,81.893,0.277,1.24,0.361,0.384,16,29,0.644,0.298
Swiss,37583,verified,34,0,34,34,8,6,15.11,19.36,292.53,2.159,1.23,3.11,0.608,3.872,1.46,10.21,3.251,116.228,0.78,0.282,0.84,0.471,17,17,0.5,0.557
Swiss,37567,verified,210,0,28,28,8,5,14.6,18.82,274.772,2.086,1.25,3.02,0.621,4.705,1.43,9.85,3.139,101.903,0.776,0.298,0.667,0.509,19,9,0.321,0.443
Swiss,37615,verified,210,0,29,29,8,5,14.86,19.08,283.529,2.123,1.29,3.05,0.617,4.77,1.46,9.99,3.183,102.282,0.779,0.291,0.667,0.511,19,10,0.345,0.445
Swiss,37629,verified,45,0,52,52,9,8,15.08,19.37,292.1,1.885,1.24,2.79,0.487,2.767,0.68,6.23,1.694,178.021,0.779,0.258,0.612,0.535,22,30,0.577,0.681
Swiss,37660,verified,192,0,26,26,7,5,14.66,18.84,276.194,2.443,1.49,3.04,0.572,4.71,1.44,9.86,3.141,94.137,0.778,0.234,0.667,0.526,18,8,0.308,0.519
Swiss,37674,verified,33,0,24,24,6,6,15.07,19.36,291.755,3.014,1.24,5.08,1.556,3.872,1.47,10.18,3.235,82.261,0.778,0.516,0.836,0.425,13,11,0.458,0.778
Swiss,37705,verified,216,0,29,29,8,5,14.82,19.07,282.617,2.117,1.3,3.06,0.624,4.768,1.48,9.97,3.174,102.612,0.777,0.295,0.666,0.51,19,10,0.345,0.444
Swiss,44363,verified,27,0,4,4,2,2,10.64,19.97,212.481,10.64,10.64,10.64,0.0,19.97,19.97,19.97,0.0,18.825,0.533,0.0,0.0,1.0,4,0,0.0,0.533
Swiss,36559,verified,37,0,20,20,4,6,22.58,12.31,277.96,7.527,3.02,15.09,5.381,2.462,0.45,10.32,3.929,71.953,1.834,0.715,1.596,0.302,12,8,0.4,3.057
Swiss,36553,verified,92,0,40,40,6,7,22.9,12.67,290.143,4.58,2.6,6.59,1.324,2.112,0.5,4.46,1.614,137.863,1.807,0.289,0.764,0.487,22,18,0.45,2.169
Swiss,36556,verified,46,0,40,40,6,7,23.16,12.82,296.911,4.632,2.62,6.67,1.343,2.137,0.51,4.51,1.626,134.72,1.807,0.29,0.761,0.488,22,18,0.45,2.168
Swiss,36571,verified,46,0,40,40,6,7,22.84,12.63,288.469,4.568,2.59,6.57,1.321,2.105,0.5,4.45,1.605,138.663,1.808,0.289,0.762,0.487,22,18,0.45,2.17
Swiss,36576,verified,38,0,20,20,4,6,22.77,12.41,282.576,7.59,3.04,15.23,5.435,2.482,0.45,10.4,3.959,70.777,1.835,0.716,1.595,0.302,12,8,0.4,3.058
Swiss,36584,verified,94,0,40,40,6,7,22.81,12.62,287.862,4.562,2.6,6.57,1.316,2.103,0.5,4.45,1.606,138.955,1.807,0.289,0.764,0.487,22,18,0.45,2.169
Swiss,36597,verified,38,0,20,20,4,6,22.84,12.45,284.358,7.613,3.05,15.26,5.441,2.49,0.45,10.44,3.975,70.334,1.835,0.715,1.597,0.302,12,8,0.4,3.058
Swiss,36591,verified,45,0,40,40,6,7,22.91,12.67,290.27,4.582,2.6,6.6,1.326,2.112,0.5,4.46,1.611,137.803,1.808,0.289,0.763,0.487,22,18,0.45,2.17
Swiss,36618,verified,38,0,20,20,4,6,22.78,12.41,282.7,7.593,3.04,15.23,5.433,2.482,0.45,10.41,3.964,70.746,1.836,0.716,1.597,0.302,12,8,0.4,3.059
Swiss,33670,verified,42,3,38,41,12,8,17.01,17.36,295.294,1.546,0.07,2.98,0.993,2.48,0.45,4.59,1.177,138.845,0.98,0.642,0.475,0.472,16,25,0.61,0.624
Swiss,33691,verified,18,0,10,10,4,3,8.53,12.35,105.345,2.843,2.82,2.88,0.026,6.175,5.6,6.75,0.575,94.926,0.691,0.009,0.093,0.907,8,2,0.2,0.46
Swiss,239,verified,49,2,27,28,7,8,15.14,27.05,409.537,2.523,0.06,5.02,1.912,3.864,1.28,10.26,3.014,68.37,0.56,0.758,0.78,0.394,18,10,0.357,0.653
Swiss,240,verified,76,0,79,79,10,11,15.3,27.28,417.384,1.7,0.64,4.42,1.492,2.728,1.29,7.17,1.646,189.274,0.561,0.878,0.603,0.403,30,49,0.62,0.623
Swiss,238,verified,36,0,18,18,5,5,15.25,27.14,413.885,3.812,2.57,5.05,1.228,6.785,1.78,13.2,5.07,43.49,0.562,0.322,0.747,0.483,12,6,0.333,0.562
Swiss,8262,verified,188,0,82,82,13,10,23.22,30.64,711.461,1.935,0.55,6.03,1.522,3.404,1.67,7.52,1.876,115.256,0.758,0.786,0.551,0.428,28,54,0.659,0.568
Swiss,8261,verified,91,0,95,95,14,11,23.86,31.46,750.636,1.835,0.57,6.16,1.549,3.146,0.84,7.7,2.029,126.559,0.758,0.844,0.645,0.402,33,62,0.653,0.583
Swiss,8263,verified,72,0,68,68,13,9,22.25,29.85,664.162,1.854,0.57,4.11,1.089,3.731,1.43,12.0,3.274,102.385,0.745,0.587,0.877,0.406,20,48,0.706,0.497
Swiss,41557,verified,118,15,52,64,19,22,29.23,28.3,827.209,1.624,0.01,10.03,2.297,1.348,0.01,2.97,0.89,77.369,1.033,1.414,0.661,0.325,8,56,0.875,1.205
Swiss,41586,verified,143,13,120,126,20,21,33.39,28.37,947.274,1.757,0.01,4.16,1.128,1.418,0.02,2.98,0.758,133.013,1.177,0.642,0.534,0.46,19,107,0.849,1.239
Swiss,6096,verified,108,0,32,32,8,8,18.18,21.93,398.687,2.597,0.49,4.94,1.729,3.133,0.66,7.75,2.594,80.263,0.829,0.666,0.828,0.401,15,17,0.531,0.829
Swiss,6095,verified,108,0,32,32,8,8,18.14,21.87,396.722,2.591,0.49,4.93,1.725,3.124,0.66,7.73,2.587,80.661,0.829,0.666,0.828,0.401,15,17,0.531,0.829
Swiss,6093,verified,108,0,32,32,8,8,18.12,21.86,396.103,2.589,0.48,4.92,1.724,3.123,0.66,7.73,2.588,80.787,0.829,0.666,0.829,0.401,15,17,0.531,0.829
Swiss,36002,verified,58,0,24,24,7,4,17.78,11.84,210.515,2.963,1.08,4.69,1.336,3.947,1.46,8.21,3.029,114.006,1.502,0.451,0.767,0.451,17,7,0.292,0.751
Swiss,36014,verified,29,0,20,20,6,5,18.0,10.33,185.94,3.6,2.31,6.25,1.415,2.582,1.1,6.42,2.23,107.562,1.742,0.393,0.863,0.443,12,8,0.4,1.394
Swiss,35990,verified,43,0,39,39,8,6,18.12,10.59,191.891,2.589,1.22,5.11,1.246,2.118,0.69,4.82,1.42,203.241,1.711,0.481,0.67,0.465,24,15,0.385,1.222
Swiss,36052,verified,13,2,12,14,5,5,11.0,11.72,128.92,2.75,0.75,7.43,2.718,2.93,0.91,6.0,2.034,108.594,0.939,0.988,0.694,0.373,10,4,0.286,0.939
Swiss,36063,verified,13,0,22,22,5,5,10.75,9.33,100.298,2.688,1.37,3.75,0.862,2.332,0.48,4.38,1.723,219.347,1.152,0.321,0.739,0.486,16,6,0.273,1.152
Swiss,36041,verified,10,0,8,8,4,2,10.75,9.32,100.19,3.583,2.58,5.16,1.129,9.32,9.32,9.32,0.0,79.848,1.153,0.315,0.0,0.76,8,0,0.0,0.384
Swiss,36106,verified,22,0,36,36,6,8,9.33,26.28,245.192,1.866,0.9,3.59,1.033,3.754,1.38,8.33,2.254,146.823,0.355,0.554,0.6,0.464,19,17,0.472,0.497
Swiss,36083,verified,9,0,14,14,5,3,9.09,9.93,90.264,2.272,0.51,3.88,1.194,4.965,4.77,5.16,0.195,155.101,0.915,0.526,0.039,0.639,11,3,0.214,0.458
Swiss,36092,verified,19,2,25,26,7,6,9.09,26.12,237.431,1.515,0.16,3.39,1.096,5.224,1.28,8.39,2.686,109.506,0.348,0.724,0.514,0.447,14,12,0.462,0.29
Swiss,36074,verified,4,0,4,4,2,2,6.23,5.76,35.885,6.23,6.23,6.23,0.0,5.76,5.76,5.76,0.0,111.468,1.082,0.0,0.0,1.0,4,0,0.0,1.082
Swiss,34036,verified,32,0,24,24,5,6,5.62,10.81,60.752,1.405,0.64,3.21,1.048,2.162,0.64,3.98,1.228,395.047,0.52,0.746,0.568,0.432,14,10,0.417,0.65
Swiss,34054,verified,23,0,18,18,6,4,5.16,5.48,28.277,1.032,0.48,1.57,0.427,1.827,0.5,3.51,1.254,636.564,0.942,0.413,0.687,0.476,12,6,0.333,0.565
Swiss,34008,verified,32,0,16,16,5,4,6.7,10.98,73.566,1.675,0.81,3.96,1.322,3.66,1.07,5.25,1.847,217.492,0.61,0.789,0.505,0.436,12,4,0.25,0.458
Swiss,33984,verified,29,0,32,32,4,9,6.83,11.12,75.95,2.277,0.26,3.86,1.501,1.39,0.2,5.02,1.518,421.332,0.614,0.659,1.092,0.363,18,14,0.438,1.638
Swiss,33517,verified,186,0,47,47,8,7,15.26,36.94,563.704,2.18,0.92,4.49,1.367,6.157,1.93,9.63,3.175,83.377,0.413,0.627,0.516,0.467,24,23,0.489,0.354
Swiss,33519,verified,27,0,26,26,5,6,12.33,30.31,373.722,3.082,1.68,5.35,1.515,6.062,1.29,11.01,4.129,69.57,0.407,0.491,0.681,0.46,18,8,0.308,0.508
Swiss,33524,verified,210,0,47,47,8,7,15.28,37.26,569.333,2.183,0.92,4.49,1.372,6.21,1.93,9.65,3.193,82.553,0.41,0.629,0.514,0.467,24,23,0.489,0.352
Swiss,33530,verified,37,0,26,26,5,6,12.38,30.44,376.847,3.095,1.66,5.36,1.525,6.088,1.3,11.06,4.155,68.993,0.407,0.493,0.682,0.46,18,8,0.308,0.508
Swiss,7941,verified,216,0,40,40,13,6,18.29,15.67,286.604,1.524,0.4,3.08,0.837,3.134,1.56,4.68,1.358,139.565,1.167,0.549,0.433,0.504,17,23,0.575,0.486
Swiss,7930,verified,65,0,58,58,10,10,14.34,32.52,466.337,1.593,0.76,5.31,1.351,3.613,1.51,5.66,1.357,124.374,0.441,0.848,0.375,0.45,24,34,0.586,0.441
Swiss,7940,verified,30,0,35,35,14,5,18.98,14.46,274.451,1.46,0.46,3.2,0.746,3.615,0.56,5.76,1.965,127.527,1.313,0.511,0.544,0.487,17,18,0.514,0.404
Swiss,4248,verified,222,0,40,40,13,6,18.45,15.77,290.956,1.537,0.41,3.11,0.844,3.154,1.58,4.71,1.365,137.478,1.17,0.549,0.433,0.505,17,23,0.575,0.487
Swiss,4250,verified,384,0,58,58,10,10,14.36,32.5,466.7,1.596,0.74,5.33,1.358,3.611,1.48,5.62,1.353,124.277,0.442,0.851,0.375,0.449,24,34,0.586,0.442
Swiss,7939,verified,44,0,45,45,13,7,18.75,16.04,300.75,1.562,0.43,3.16,0.861,2.673,1.09,4.75,1.287,149.626,1.169,0.551,0.481,0.492,19,26,0.578,0.584
Swiss,861,verified,480,0,68,68,14,10,23.86,56.5,1348.09,1.835,1.29,3.55,0.521,6.278,1.82,9.88,3.339,50.442,0.422,0.284,0.532,0.551,17,51,0.75,0.292
Swiss,860,verified,122,0,100,100,15,13,23.64,56.67,1339.679,1.689,1.23,2.16,0.239,4.722,1.09,12.63,3.158,74.645,0.417,0.142,0.669,0.552,20,80,0.8,0.358
Swiss,8446,verified,23,0,9,9,4,3,10.7,12.85,137.495,3.567,1.12,5.44,1.81,6.425,1.79,11.06,4.635,65.457,0.833,0.507,0.721,0.449,7,2,0.222,0.555
Swiss,33965,verified,42,0,66,66,6,12,14.8,21.09,312.132,2.96,0.45,7.39,2.408,1.917,0.49,3.57,1.002,211.449,0.702,0.814,0.523,0.428,32,34,0.515,1.544
Swiss,33962,verified,39,0,6,6,3,2,6.34,21.54,136.564,3.17,1.2,5.14,1.97,21.54,21.54,21.54,0.0,43.936,0.294,0.621,0.0,0.617,6,0,0.0,0.147
Swiss,33969,verified,46,4,70,72,12,12,30.98,20.31,629.204,2.816,0.51,11.57,3.146,1.846,0.08,5.73,1.393,114.43,1.525,1.117,0.754,0.348,27,45,0.625,1.525
Swiss,33960,verified,29,0,28,28,4,9,5.33,22.04,117.473,1.777,0.53,3.08,1.042,2.755,0.61,6.49,1.977,238.352,0.242,0.586,0.717,0.434,17,11,0.393,0.645
Swiss,35880,verified,510,0,83,83,9,11,14.06,33.29,468.057,1.757,0.5,4.37,1.394,3.329,2.92,4.04,0.416,177.329,0.422,0.793,0.125,0.521,30,53,0.639,0.528
Swiss,35909,verified,92,1,60,61,8,11,13.42,33.42,448.496,1.917,0.32,4.34,1.543,3.342,2.95,4.09,0.421,136.01,0.402,0.805,0.126,0.518,19,42,0.689,0.574
Swiss,34212,verified,44,3,57,57,7,12,14.38,49.17,707.065,2.397,1.34,3.7,0.811,4.47,0.88,12.82,3.948,80.615,0.292,0.339,0.883,0.45,20,37,0.649,0.536
Swiss,34165,verified,55,0,85,85,13,12,12.8,17.31,221.568,1.067,0.32,2.84,0.76,1.574,0.32,4.46,1.455,383.629,0.739,0.713,0.925,0.379,26,59,0.694,0.678
Swiss,34247,verified,51,2,53,54,8,11,14.03,48.41,679.192,2.004,0.22,3.56,1.018,4.841,1.08,12.47,3.086,79.506,0.29,0.508,0.637,0.466,19,35,0.648,0.414
Swiss,14596,verified,63,10,47,55,17,16,27.82,19.6,545.272,1.739,0.05,4.06,1.234,1.307,0.02,5.63,1.521,100.867,1.419,0.71,1.164,0.348,16,39,0.709,1.331
Swiss,14598,verified,270,21,27,32,12,11,28.29,19.9,562.971,2.572,0.58,6.23,1.695,1.99,0.12,4.38,1.518,56.841,1.422,0.659,0.763,0.413,14,18,0.562,1.292
Swiss,14600,verified,50,0,43,43,8,7,28.52,10.61,302.597,4.074,0.68,13.41,3.977,1.768,0.59,2.8,0.786,142.103,2.688,0.976,0.444,0.413,22,21,0.488,2.304
Swiss,14607,verified,184,14,208,219,28,35,47.97,55.89,2681.043,1.777,0.11,5.22,1.52,1.644,0.09,5.49,1.07,81.685,0.858,0.856,0.651,0.399,24,195,0.89,1.081
Swiss,14623,verified,263,5,139,142,18,20,49.09,43.77,2148.669,2.888,0.01,5.35,1.294,2.304,0.03,7.5,1.795,66.087,1.122,0.448,0.779,0.449,18,124,0.873,1.253
Swiss,14612,verified,300,1,163,163,18,17,49.15,51.49,2530.734,2.891,0.89,5.39,1.199,3.218,1.32,8.1,1.532,64.408,0.955,0.415,0.476,0.529,23,140,0.859,0.898
Swiss,14618,verified,367,1,94,94,10,21,49.04,51.4,2520.656,5.449,2.95,8.33,1.749,2.57,1.1,6.99,1.311,37.292,0.954,0.321,0.51,0.546,15,79,0.84,2.12
Swiss,36912,verified,128,56,32,34,10,7,18.2,14.89,270.998,2.022,0.01,3.71,1.417,2.482,0.08,7.02,2.334,125.462,1.222,0.701,0.94,0.379,18,16,0.471,0.815
Swiss,36914,verified,32,14,32,34,10,7,18.2,14.89,270.998,2.022,0.07,3.7,1.42,2.482,0.1,7.02,2.327,125.462,1.222,0.702,0.938,0.379,20,14,0.412,0.815
Swiss,36917,verified,128,56,32,34,10,7,18.09,14.88,269.179,2.01,0.01,3.69,1.509,2.48,0.13,7.01,2.325,126.31,1.216,0.751,0.937,0.372,20,14,0.412,0.81
Swiss,36918,verified,31,14,32,34,10,7,18.17,14.87,270.188,2.019,0.04,3.7,1.517,2.478,0.03,7.01,2.325,125.838,1.222,0.752,0.938,0.372,16,18,0.529,0.815
Swiss,36928,verified,144,56,49,51,11,10,22.52,18.43,415.044,2.252,0.02,4.84,1.569,2.048,0.18,3.76,1.417,122.879,1.222,0.697,0.692,0.419,22,29,0.569,1.1
Swiss,36933,verified,36,14,49,51,11,10,22.53,18.43,415.228,2.253,0.02,4.84,1.57,2.048,0.17,3.77,1.419,122.824,1.222,0.697,0.693,0.418,22,29,0.569,1.1
Swiss,36944,verified,184,196,51,57,16,14,29.48,18.07,532.704,1.965,0.02,4.74,1.741,1.39,0.02,3.5,1.333,107.001,1.631,0.886,0.959,0.351,13,44,0.772,1.414
Swiss,36938,verified,42,28,51,54,11,11,29.41,18.06,531.145,2.941,0.22,4.74,1.362,1.806,0.02,3.58,1.327,101.667,1.628,0.463,0.735,0.455,18,36,0.667,1.628
Swiss,36954,verified,116,56,32,34,10,7,18.11,14.87,269.296,2.012,0.04,3.68,1.505,2.478,0.08,7.01,2.327,126.255,1.218,0.748,0.939,0.372,18,16,0.471,0.812
Swiss,36960,verified,31,14,32,34,10,7,18.08,14.87,268.85,2.009,0.01,3.7,1.523,2.478,0.14,7.01,2.322,126.465,1.216,0.758,0.937,0.371,18,16,0.471,0.811
Swiss,36977,verified,96,63,36,38,7,11,14.91,21.68,323.249,2.485,0.01,7.04,2.333,2.168,0.06,3.68,1.5,117.557,0.688,0.939,0.692,0.38,22,16,0.421,1.146
Swiss,36984,verified,31,21,36,37,7,9,14.97,18.25,273.202,2.495,0.24,3.83,1.177,2.281,0.09,3.78,1.428,135.431,0.82,0.472,0.626,0.477,18,19,0.514,1.094
Swiss,36971,verified,29,21,33,34,6,9,14.97,18.17,272.005,2.994,0.23,7.05,2.261,2.271,0.01,3.78,1.447,124.998,0.824,0.755,0.637,0.418,21,13,0.382,1.318
Swiss,6255,verified,171,0,10,10,2,5,11.43,9.84,112.471,11.43,11.43,11.43,0.0,2.46,0.6,4.25,1.356,88.912,1.162,0.0,0.551,0.645,10,0,0.0,4.646
Swiss,44117,verified,48,0,5,5,2,3,4.07,3.98,16.199,4.07,4.07,4.07,0.0,1.99,1.98,2.0,0.01,308.669,1.023,0.0,0.005,0.995,5,0,0.0,2.045
Swiss,8444,verified,27,3,24,27,9,9,12.09,15.66,189.329,1.511,0.24,3.91,1.381,1.958,0.13,4.78,1.648,142.609,0.772,0.914,0.842,0.363,14,13,0.481,0.772
Swiss,36471,verified,56,0,48,48,6,10,12.09,26.7,322.803,2.418,0.61,4.07,1.391,2.967,0.42,6.56,1.682,148.698,0.453,0.575,0.567,0.467,28,20,0.417,0.815
